BOSMAY17G_TJackson,BOSMAY17G_MWalsh,SH18P_Suff14_SIdowu,SH18P_Suff14_AScaccia,SH18P_Suff12_DCullinane,SH18P_Suff12_JLacet,SH16P_Suff12_DCullinane,SH16P_Suff12_JLacet,SH18P_Suff11_EMalia,SH18P_Suff11_CClemons,USH18P_7_APressley,USH18P_7_MCapuano,SS08P_Suff2_SChangDiaz,SS08P_Suff2_DWilkerson,SS13P_Suff1_LForry,SS13P_Suff1_NCollins,NAMELSAD,NAMELSAD20
,,,,,,,,,,501.0,320.0,,,,,Cambridge City Ward 4 Precinct 1,Cambridge City Ward 4 Precinct 1
,,,,,,,,,,488.0,295.0,,,,,Cambridge City Ward 5 Precinct 1,Cambridge City Ward 5 Precinct 1
,,,,,,,,,,511.0,351.0,,,,,Cambridge City Ward 5 Precinct 2,Cambridge City Ward 5 Precinct 2
,,,,,,,,,,373.0,284.0,,,,,Cambridge City Ward 5 Precinct 3,Cambridge City Ward 5 Precinct 3
,,,,,,,,,,434.0,344.0,,,,,Cambridge City Ward 10 Precinct 3,Cambridge City Ward 10 Precinct 3
,,,,,,,,,,238.0,220.0,,,,,Cambridge City Ward 11 Precinct 1,Cambridge City Ward 11 Precinct 1
,,,,,,,,,,684.0,520.0,,,,,Cambridge City Ward 11 Precinct 2,Cambridge City Ward 11 Precinct 2
,,,,,,,,,,503.0,467.0,,,,,Cambridge City Ward 11 Precinct 3,Cambridge City Ward 11 Precinct 3
,,,,,,,,,,46.0,49.0,,,,,Chelsea City Ward 1 Precinct 1,Chelsea City Ward 1 Precinct 1
,,,,,,,,,,19.0,26.0,,,,,Chelsea City Ward 1 Precinct 2,Chelsea City Ward 1 Precinct 2
,,,,,,,,,,51.0,45.0,,,,,Chelsea City Ward 1 Precinct 3,Chelsea City Ward 1 Precinct 3
,,,,,,,,,,38.0,45.0,,,,,Chelsea City Ward 1 Precinct 4,Chelsea City Ward 1 Precinct 4
,,,,,,,,,,142.0,186.0,,,,,Chelsea City Ward 2 Precinct 1,Chelsea City Ward 2 Precinct 1
,,,,,,,,,,76.0,67.0,,,,,Chelsea City Ward 2 Precinct 2,Chelsea City Ward 2 Precinct 2
,,,,,,,,,,31.0,28.0,,,,,Chelsea City Ward 2 Precinct 3,Chelsea City Ward 2 Precinct 3
,,,,,,,,,,61.0,44.0,,,,,Chelsea City Ward 2 Precinct 4,Chelsea City Ward 2 Precinct 4
,,,,,,,,,,43.0,61.0,,,,,Chelsea City Ward 3 Precinct 1,Chelsea City Ward 3 Precinct 1
,,,,,,,,,,74.0,85.0,,,,,Chelsea City Ward 3 Precinct 2,Chelsea City Ward 3 Precinct 2
,,,,,,,,,,61.0,72.0,,,,,Chelsea City Ward 3 Precinct 3,Chelsea City Ward 3 Precinct 3
,,,,,,,,,,68.0,73.0,,,,,Chelsea City Ward 3 Precinct 4,Chelsea City Ward 3 Precinct 4
,,,,,,,,,,54.0,79.0,,,,,Chelsea City Ward 4 Precinct 1,Chelsea City Ward 4 Precinct 1
,,,,,,,,,,75.0,102.0,,,,,Chelsea City Ward 4 Precinct 2,Chelsea City Ward 4 Precinct 2
,,,,,,,,,,64.0,97.0,,,,,Chelsea City Ward 4 Precinct 3,Chelsea City Ward 4 Precinct 3
,,,,,,,,,,65.0,80.0,,,,,Chelsea City Ward 4 Precinct 4,Chelsea City Ward 4 Precinct 4
,,,,,,,,,,112.0,221.0,,,,,Everett City Ward 1 Precinct 1,Everett City Ward 1 Precinct 1
,,,,,,,,,,114.0,158.0,,,,,Everett City Ward 1 Precinct 2,Everett City Ward 1 Precinct 2
,,,,,,,,,,120.0,214.0,,,,,Everett City Ward 2 Precinct 1,Everett City Ward 2 Precinct 1
,,,,,,,,,,100.0,200.0,,,,,Everett City Ward 2 Precinct 2,Everett City Ward 2 Precinct 2
,,,,,,,,,,150.0,337.0,,,,,Everett City Ward 3 Precinct 1,Everett City Ward 3 Precinct 1
,,,,,,,,,,113.0,267.0,,,,,Everett City Ward 3 Precinct 2,Everett City Ward 3 Precinct 2
,,,,,,,,,,115.0,266.0,,,,,Everett City Ward 4 Precinct 1,Everett City Ward 4 Precinct 1
,,,,,,,,,,132.0,239.0,,,,,Everett City Ward 4 Precinct 2,Everett City Ward 4 Precinct 2
,,,,,,,,,,136.0,215.0,,,,,Everett City Ward 5 Precinct 1,Everett City Ward 5 Precinct 1
,,,,,,,,,,136.0,239.0,,,,,Everett City Ward 5 Precinct 2,Everett City Ward 5 Precinct 2
,,,,,,,,,,150.0,226.0,,,,,Everett City Ward 6 Precinct 1,Everett City Ward 6 Precinct 1
,,,,,,,,,,120.0,222.0,,,,,Everett City Ward 6 Precinct 2,Everett City Ward 6 Precinct 2
,,,,,,,,,,193.0,248.0,,,,,Milton Town Precinct 5,Milton Town Precinct 5
,,,,,,,,,,231.0,158.0,,,,,Milton Town Precinct 10,Milton Town Precinct 10
,,,,,,,,,,137.0,168.0,,,,,Randoplh Town Precinct 1,Randolph Town Precinct 1
,,,,,,,,,,116.0,146.0,,,,,Randoplh Town Precinct 2,Randolph Town Precinct 2
,,,,,,,,,,152.0,150.0,,,,,Randoplh Town Precinct 3,Randolph Town Precinct 3
,,,,,,,,,,160.0,193.0,,,,,Randoplh Town Precinct 4,Randolph Town Precinct 4
,,,,,,,,,,145.0,126.0,,,,,Randoplh Town Precinct 5,Randolph Town Precinct 5
,,,,,,,,,,112.0,167.0,,,,,Randoplh Town Precinct 6,Randolph Town Precinct 6
,,,,,,,,,,146.0,150.0,,,,,Randoplh Town Precinct 7,Randolph Town Precinct 7
,,,,,,,,,,175.0,191.0,,,,,Randoplh Town Precinct 8,Randolph Town Precinct 8
,,,,,,,,,,166.0,135.0,,,,,Randoplh Town Precinct 9,Randolph Town Precinct 9
,,,,,,,,,,197.0,122.0,,,,,Randoplh Town Precinct 10,Randolph Town Precinct 10
,,,,,,,,,,145.0,181.0,,,,,Randoplh Town Precinct 11,Randolph Town Precinct 11
,,,,,,,,,,184.0,160.0,,,,,Randoplh Town Precinct 12,Randolph Town Precinct 12
,,,,,,,,,,170.0,318.0,,,,,Somerville City Ward 1 Precinct 1,Somerville City Ward 1 Precinct 1
,,,,,,,,,,240.0,378.0,,,,,Somerville City Ward 1 Precinct 2,Somerville City Ward 1 Precinct 2
,,,,,,,,,,190.0,287.0,,,,,Somerville City Ward 1 Precinct 3,Somerville City Ward 1 Precinct 3
,,,,,,,,,,451.0,338.0,,,,,Somerville City Ward 2 Precinct 1,Somerville City Ward 2 Precinct 1
,,,,,,,,,,576.0,368.0,,,,,Somerville City Ward 2 Precinct 2,Somerville City Ward 2 Precinct 2
,,,,,,,,,,522.0,365.0,,,,,Somerville City Ward 2 Precinct 3,Somerville City Ward 2 Precinct 3
,,,,,,,,,,424.0,474.0,,,,,Somerville City Ward 3 Precinct 1,Somerville City Ward 3 Precinct 1
,,,,,,,,,,414.0,499.0,,,,,Somerville City Ward 3 Precinct 2,Somerville City Ward 3 Precinct 2
,,,,,,,,,,555.0,432.0,,,,,Somerville City Ward 3 Precinct 3,Somerville City Ward 3 Precinct 3
,,,,,,,,,,117.0,290.0,,,,,Somerville City Ward 4 Precinct 1,Somerville City Ward 4 Precinct 1
,,,,,,,,,,280.0,279.0,,,,,Somerville City Ward 4 Precinct 2,Somerville City Ward 4 Precinct 2
,,,,,,,,,,320.0,387.0,,,,,Somerville City Ward 4 Precinct 3,Somerville City Ward 4 Precinct 3
,,,,,,,,,,405.0,501.0,,,,,Somerville City Ward 5 Precinct 1,Somerville City Ward 5 Precinct 1
,,,,,,,,,,470.0,509.0,,,,,Somerville City Ward 5 Precinct 2,Somerville City Ward 5 Precinct 2
,,,,,,,,,,584.0,497.0,,,,,Somerville City Ward 5 Precinct 3,Somerville City Ward 5 Precinct 3
,,,,,,,,,,610.0,456.0,,,,,Somerville City Ward 6 Precinct 1,Somerville City Ward 6 Precinct 1
,,,,,,,,,,506.0,514.0,,,,,Somerville City Ward 6 Precinct 2,Somerville City Ward 6 Precinct 2
,,,,,,,,,,241.0,278.0,,,,,Somerville City Ward 6 Precinct 3,Somerville City Ward 6 Precinct 3
,,,,,,,,,,542.0,455.0,,,,,Somerville City Ward 7 Precinct 1,Somerville City Ward 7 Precinct 1
,,,,,,,,,,328.0,372.0,,,,,Somerville City Ward 7 Precinct 2,Somerville City Ward 7 Precinct 2
,,,,,,,,,,341.0,426.0,,,,,Somerville City Ward 7 Precinct 3,Somerville City Ward 7 Precinct 3
,,,,,,,,,,,,44.0,122.0,,,Boston Ward 12 Precinct 8,1208
