BOSMAY17G_TJackson,BOSMAY17G_MWalsh,SH18P_Suff14_SIdowu,SH18P_Suff14_AScaccia,SH18P_Suff12_DCullinane,SH18P_Suff12_JLacet,SH16P_Suff12_DCullinane,SH16P_Suff12_JLacet,SH18P_Suff11_EMalia,SH18P_Suff11_CClemons,USH18P_7_APressley,USH18P_7_MCapuano,SS08P_Suff2_SChangDiaz,SS08P_Suff2_DWilkerson,SS13P_Suff1_LForry,SS13P_Suff1_NCollins,NAMELSAD,NAMELSAD20
297.0,911,,,,,,,,,518.0,396.0,359.0,144.0,,,Boston Ward 3 Precinct 7,0307
220.0,"1,039",,,,,,,,,623.0,441.0,208.0,286.0,,,Boston Ward 3 Precinct 8,0308
179.0,478,,,,,,,,,257.0,252.0,295.0,96.0,,,Boston Ward 4 Precinct 1,0401
205.0,488,,,,,,,,,316.0,317.0,196.0,128.0,,,Boston Ward 4 Precinct 2,0402
122.0,295,,,,,,,,,192.0,152.0,165.0,85.0,,,Boston Ward 4 Precinct 3,0403
163.0,295,,,,,,,,,247.0,201.0,235.0,122.0,,,Boston Ward 4 Precinct 4,0404
122.0,215,,,,,,,,,175.0,163.0,102.0,75.0,,,Boston Ward 4 Precinct 5,0405
95.0,178,,,,,,,,,126.0,89.0,75.0,65.0,,,Boston Ward 4 Precinct 6,0406
85.0,164,,,,,,,,,128.0,104.0,,,,,Boston Ward 4 Precinct 7,0407
90.0,171,,,,,,,,,126.0,99.0,51.0,79.0,,,Boston Ward 4 Precinct 8,0408
55.0,66,,,,,,,,,67.0,28.0,11.0,29.0,,,Boston Ward 4 Precinct 9,0409
34.0,27,,,,,,,,,56.0,17.0,,,,,Boston Ward 4 Precinct 10,0410
251.0,998,,,,,,,,,601.0,409.0,356.0,223.0,,,Boston Ward 5 Precinct 1,0501
101.0,150,,,,,,,,,182.0,115.0,,,,,Boston Ward 5 Precinct 2,0502
42.0,111,,,,,,,,,115.0,76.0,,,,,Boston Ward 5 Precinct 2A,0502A
111.0,232,,,,,,,,,,,,,,,Boston Ward 5 Precinct 3,0503
116.0,248,,,,,,,,,,,156.0,58.0,,,Boston Ward 5 Precinct 4,0504
67.0,168,,,,,,,,,,,94.0,21.0,,,Boston Ward 5 Precinct 5,0505
110.0,239,,,,,,,,,150.0,168.0,162.0,31.0,,,Boston Ward 5 Precinct 6,0506
133.0,349,,,,,,,,,182.0,211.0,194.0,40.0,,,Boston Ward 5 Precinct 7,0507
94.0,308,,,,,,,,,197.0,184.0,197.0,33.0,,,Boston Ward 5 Precinct 8,0508
147.0,291,,,,,,,,,227.0,209.0,,,,,Boston Ward 5 Precinct 9,0509
90.0,195,,,,,,,,,133.0,117.0,,,,,Boston Ward 5 Precinct 10,0510
83.0,236,,,,,,,,,,,140.0,44.0,,,Boston Ward 5 Precinct 11,0511
235.0,712,,,,,,,,,,,,,104.0,335.0,Boston Ward 6 Precinct 1,0601
77.0,285,,,,,,,,,,,,,25.0,166.0,Boston Ward 6 Precinct 2,0602
61.0,324,,,,,,,,,,,,,33.0,219.0,Boston Ward 6 Precinct 3,0603
92.0,371,,,,,,,,,,,,,39.0,282.0,Boston Ward 6 Precinct 4,0604
82.0,334,,,,,,,,,,,,,31.0,274.0,Boston Ward 6 Precinct 5,0605
60.0,448,,,,,,,,,,,,,23.0,454.0,Boston Ward 6 Precinct 6,0606
94.0,368,,,,,,,,,,,,,38.0,331.0,Boston Ward 6 Precinct 7,0607
75.0,371,,,,,,,,,,,,,31.0,337.0,Boston Ward 6 Precinct 8,0608
71.0,366,,,,,,,,,,,,,24.0,414.0,Boston Ward 6 Precinct 9,0609
86.0,414,,,,,,,,,,,,,11.0,377.0,Boston Ward 7 Precinct 1,0701
82.0,439,,,,,,,,,,,,,29.0,400.0,Boston Ward 7 Precinct 2,0702
98.0,520,,,,,,,,,,,,,41.0,504.0,Boston Ward 7 Precinct 3,0703
94.0,330,,,,,,,,,,,,,45.0,305.0,Boston Ward 7 Precinct 4,0704
92.0,279,,,,,,,,,,,,,20.0,219.0,Boston Ward 7 Precinct 5,0705
89.0,267,,,,,,,,,,,,,25.0,170.0,Boston Ward 7 Precinct 6,0706
77.0,232,,,,,,,,,,,,,49.0,177.0,Boston Ward 7 Precinct 7,0707
85.0,253,,,,,,,,,,,,,42.0,183.0,Boston Ward 7 Precinct 8,0708
72.0,249,,,,,,,,,,,,,46.0,151.0,Boston Ward 7 Precinct 9,0709
79.0,195,,,,,,,,,170.0,80.0,,,104.0,38.0,Boston Ward 7 Precinct 10,0710
106.0,227,,,,,,,,,184.0,115.0,31.0,62.0,,,Boston Ward 8 Precinct 1,0801
210.0,332,,,,,,,,,295.0,196.0,117.0,100.0,,,Boston Ward 8 Precinct 2,0802
165.0,89,,,,,,,,,156.0,55.0,34.0,148.0,,,Boston Ward 8 Precinct 3,0803
108.0,87,,,,,,,,,119.0,25.0,6.0,73.0,,,Boston Ward 8 Precinct 4,0804
141.0,221,,,,,,,,,203.0,87.0,19.0,167.0,,,Boston Ward 8 Precinct 5,0805
41.0,78,,,,,,,,,70.0,30.0,11.0,51.0,,,Boston Ward 8 Precinct 6,0806
125.0,100,,,,,,,,,124.0,39.0,52.0,85.0,,,Boston Ward 8 Precinct 7,0807
188.0,428,,,,,,,,,286.0,175.0,121.0,87.0,,,Boston Ward 9 Precinct 1,0901
214.0,329,,,,,,,,,353.0,185.0,162.0,132.0,,,Boston Ward 9 Precinct 2,0902
306.0,258,,,,,,,,,487.0,208.0,132.0,274.0,,,Boston Ward 9 Precinct 3,0903
